dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,trailing_stop_pct,sma_filter_period,max_leverage,safety_core,safety_all,mean_sort_core,mean_sort_all,n_pos_core,n_pos_all,worst_dd_pct,sort_30d,ret_30d,dd_30d,trades_30d,wr_30d,sort_60d,ret_60d,dd_60d,trades_60d,wr_60d,sort_90d,ret_90d,dd_90d,trades_90d,wr_90d,sort_180d,ret_180d,dd_180d,trades_180d,wr_180d,sort_365d,ret_365d,dd_365d,trades_365d,wr_365d,sort_crash_dec_jan,ret_crash_dec_jan,dd_crash_dec_jan,trades_crash_dec_jan,wr_crash_dec_jan,sort_bull_jun_sep,ret_bull_jun_sep,dd_bull_jun_sep,trades_bull_jun_sep,wr_bull_jun_sep
0.1,0.2,0.08,7,14,0.0,20,3.0,116.0429,252.6295,50.0,46.6507,3,7,-29.2625,50.0,420.9066,-10.0247,25,0.0,50.0,420.9066,-9.9302,105,8.16,50.0,311.9521,-25.0856,60,10.0,46.4669,267.148,-29.2625,102,9.8,50.0,377.5456,-25.3739,206,15.53,50.0,370.3098,-21.8528,76,21.05,30.0883,444.9305,-25.3743,126,30.16
0.1,0.1,0.08,7,21,0.0,20,3.0,116.0431,251.7402,50.0,46.4865,3,7,-29.2623,50.0,420.9056,-10.2173,35,21.43,50.0,420.9056,-10.353,125,13.56,50.0,298.7431,-27.0779,68,14.71,48.9845,267.148,-29.2623,102,9.8,47.8481,332.9437,-25.6348,250,19.2,50.0,370.8187,-18.6531,88,31.82,28.5727,436.2069,-25.0948,168,39.29
0.1,0.1,0.08,7,14,0.0,20,3.0,116.0431,251.7402,50.0,46.4865,3,7,-29.2623,50.0,420.9056,-10.2173,35,21.43,50.0,420.9066,-10.1041,125,11.86,50.0,298.7431,-27.0779,68,14.71,48.9845,267.148,-29.2623,102,9.8,47.8481,332.9437,-25.6348,250,19.2,50.0,374.592,-18.1208,88,31.82,28.5727,436.2069,-25.0948,168,39.29
0.1,0.2,0.08,7,7,0.0,20,3.0,116.0429,251.0932,50.0,46.367,3,7,-29.2625,50.0,424.5504,-9.8907,35,21.43,50.0,422.3915,-10.9012,135,20.31,50.0,309.9274,-25.4538,68,11.76,46.4676,267.148,-29.2625,102,9.8,48.566,376.9809,-25.4622,224,16.07,50.0,368.1364,-23.6524,90,26.67,29.5357,458.0088,-25.4348,152,32.89
0.1,0.15,0.08,7,21,0.0,20,3.0,116.043,250.6709,50.0,46.289,3,7,-29.2624,50.0,420.9066,-10.542,31,8.33,50.0,428.5635,-10.0794,111,11.54,50.0,302.4856,-26.8939,64,12.5,48.6155,267.148,-29.2624,102,9.8,48.069,341.2836,-27.1796,222,17.12,50.0,362.7433,-22.0984,74,21.62,27.3388,448.9612,-25.4508,152,32.89
0.1,0.2,0.08,7,21,0.0,20,3.0,116.0429,250.5384,50.0,46.2646,3,7,-29.2625,50.0,420.9066,-10.0247,25,0.0,50.0,420.9815,-11.717,95,0.0,50.0,311.9521,-25.0856,60,10.0,46.4669,267.148,-29.2625,102,9.8,49.7983,370.1918,-25.4328,192,14.58,50.0,364.5274,-22.4251,68,17.65,27.587,443.472,-26.9116,126,26.98
0.1,0.15,0.08,7,7,0.0,20,3.0,116.043,249.6603,50.0,46.1024,3,7,-29.2624,50.0,424.5504,-9.9343,37,20.0,50.0,420.9812,-10.9012,137,21.54,50.0,309.9274,-25.5422,66,12.12,48.6155,267.148,-29.2624,102,9.8,46.359,352.6772,-26.3832,234,16.24,50.0,363.7592,-21.5005,94,29.79,27.7423,454.7009,-25.8986,166,32.53
0.1,0.12,0.08,7,14,0.0,20,3.0,116.0431,248.9975,50.0,45.98,3,7,-29.2623,50.0,420.9056,-10.6945,35,21.43,50.0,420.9066,-9.4229,121,10.53,50.0,300.2401,-27.004,64,12.5,48.2387,267.148,-29.2623,102,9.8,44.4968,341.2836,-25.9568,232,18.1,50.0,363.6214,-21.4462,76,23.68,29.1245,452.5765,-25.3558,164,37.8
0.1,0.12,0.08,7,21,0.0,20,3.0,116.0431,248.8642,50.0,45.9554,3,7,-29.2623,50.0,420.9056,-10.6945,35,21.43,50.0,420.9056,-10.1871,119,10.71,50.0,300.2401,-27.004,64,12.5,48.2387,267.148,-29.2623,102,9.8,44.4968,341.2836,-25.9568,232,18.1,50.0,357.4835,-21.9712,74,21.62,28.9522,448.2075,-25.5063,162,37.04
0.1,0.15,0.08,7,14,0.0,20,3.0,116.043,248.7406,50.0,45.9326,3,7,-29.2624,50.0,420.9066,-10.542,31,8.33,50.0,420.9066,-9.9131,113,11.32,50.0,302.4856,-26.8939,64,12.5,48.6155,267.148,-29.2624,102,9.8,45.3918,356.2292,-25.8056,224,17.86,50.0,369.5055,-21.935,76,23.68,27.5208,453.3258,-25.3008,154,33.77
