dip_pct,profit_target_pct,stop_loss_pct,max_positions,max_hold_days,trailing_stop_pct,sma_filter_period,max_leverage,mean_sortino,mean_return_pct,worst_dd_pct,mean_trades,mean_win_rate,n_pos_windows,safety,sort_30d,sort_60d,sort_90d,ret_30d,ret_60d,ret_90d,dd_30d,dd_60d,dd_90d,trades_30d,trades_60d,trades_90d
0.15,0.2,0.15,10,14,0.03,20,3.0,50.0,472.7737,-4.1412,115.3,72.56,3,144.0351,50.0,50.0,50.0,233.3925,375.7074,809.2213,-4.0221,-2.3285,-4.1412,30,130,186
0.15,0.2,0.15,10,7,0.03,20,3.0,50.0,472.7737,-4.1412,115.3,72.56,3,144.0351,50.0,50.0,50.0,233.3925,375.7074,809.2213,-4.0221,-2.3285,-4.1412,30,130,186
0.15,0.2,0.15,10,21,0.03,20,3.0,50.0,472.7737,-4.1412,115.3,72.56,3,144.0351,50.0,50.0,50.0,233.3925,375.7074,809.2213,-4.0221,-2.3285,-4.1412,30,130,186
0.15,0.15,0.1,10,21,0.03,20,3.0,50.0,451.3904,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,220.9265,350.7787,782.4661,-4.4407,-4.4896,-4.1193,30,130,186
0.15,0.2,0.1,10,7,0.03,20,3.0,50.0,458.3265,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,224.669,358.2637,792.0467,-4.3907,-4.4896,-4.1089,30,130,186
0.15,0.12,0.1,10,14,0.03,20,3.0,50.0,445.4024,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,218.6809,346.2877,771.2386,-4.4713,-4.4896,-4.153,30,130,186
0.15,0.15,0.1,10,7,0.03,20,3.0,50.0,451.3904,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,220.9265,350.7787,782.4661,-4.4407,-4.4896,-4.1193,30,130,186
0.15,0.12,0.1,10,21,0.03,20,3.0,50.0,445.4024,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,218.6809,346.2877,771.2386,-4.4713,-4.4896,-4.153,30,130,186
0.15,0.15,0.1,10,14,0.03,20,3.0,50.0,451.3904,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,220.9265,350.7787,782.4661,-4.4407,-4.4896,-4.1193,30,130,186
0.15,0.12,0.1,10,7,0.03,20,3.0,50.0,445.4024,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,218.6809,346.2877,771.2386,-4.4713,-4.4896,-4.153,30,130,186
0.15,0.2,0.1,10,14,0.03,20,3.0,50.0,458.3265,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,224.669,358.2637,792.0467,-4.3907,-4.4896,-4.1089,30,130,186
0.15,0.2,0.1,10,21,0.03,20,3.0,50.0,458.3265,-4.4896,115.3,69.47,3,143.5549,50.0,50.0,50.0,224.669,358.2637,792.0467,-4.3907,-4.4896,-4.1089,30,130,186
0.15,0.2,0.08,10,21,0.03,20,3.0,50.0,447.7443,-5.4619,115.3,67.88,3,142.2314,50.0,50.0,50.0,227.663,347.3989,768.1711,-4.0221,-2.8963,-5.4619,30,130,186
0.15,0.2,0.08,10,14,0.03,20,3.0,50.0,447.7443,-5.4619,115.3,67.88,3,142.2314,50.0,50.0,50.0,227.663,347.3989,768.1711,-4.0221,-2.8963,-5.4619,30,130,186
0.15,0.2,0.08,10,7,0.03,20,3.0,50.0,447.7443,-5.4619,115.3,67.88,3,142.2314,50.0,50.0,50.0,227.663,347.3989,768.1711,-4.0221,-2.8963,-5.4619,30,130,186
0.15,0.15,0.08,10,21,0.03,20,3.0,50.0,440.8083,-5.4757,115.3,67.88,3,142.2128,50.0,50.0,50.0,223.9205,339.9139,758.5905,-4.0221,-2.9451,-5.4757,30,130,186
0.15,0.15,0.08,10,7,0.03,20,3.0,50.0,440.8083,-5.4757,115.3,67.88,3,142.2128,50.0,50.0,50.0,223.9205,339.9139,758.5905,-4.0221,-2.9451,-5.4757,30,130,186
